servicio;subtotal;factor;tipo_servicio;id
SRVREPPIN;(SUBTOTAL IGUAL);1;SERVICIO COSTO FIJO;71
SRVCABLAGFRT;(SUBTOTAL IGUAL);1;SERVICIO COSTO FIJO;72
SRVCABBMBALVT;(SUBTOTAL IGUAL);1;SERVICIO COSTO FIJO;73
SRVCAMLAGFRTCNJESP;(SUBTOTAL IGUAL);1;SERVICIO COSTO FIJO;74
SRVCAMPANFRTLAGFRT;(SUBTOTAL IGUAL);1;SERVICIO COSTO FIJO;75
SERCAMVIDPANFRT;(SUBTOTAL IGUAL);1;SERVICIO COSTO FIJO;76
SRVREPESTCAMPANVIDLAGFRT;(SUBTOTAL IGUAL);1;SERVICIO COSTO FIJO;77
SERCAMVIDPANFRT;(SUBTOTAL IGUAL);1;SERVICIO COSTO FIJO;78
SRVREPESTCAMVIDPANLAG;(SUBTOTAL IGUAL);1;SERVICIO COSTO FIJO;79
SRVREPTAPINSPCAMVIDTRA;(SUBTOTAL IGUAL);1;SERVICIO COSTO FIJO;80
SRVCAMVIDLAG;(SUBTOTAL IGUAL);1;SERVICIO COSTO FIJO;81
SRVCAMVIDPAN;(SUBTOTAL IGUAL);1;SERVICIO COSTO FIJO;82
SRVCAMVIDLAG;(SUBTOTAL IGUAL);1;SERVICIO COSTO FIJO;83
SERDESMONTCHABAS;(SUBTOTAL IGUAL);1;SERVICIO COSTO FIJO;84
SRVREPESTVIDLAG;(SUBTOTAL IGUAL);1;SERVICIO COSTO FIJO;85
SRVCAMESPVIDLAG;(SUBTOTAL IGUAL);1;SERVICIO COSTO FIJO;86
SRVCAMVIDLATREPLATPIN;(SUBTOTAL IGUAL);1;SERVICIO COSTO FIJO;87
SRVCAMVIDPANLAG;(SUBTOTAL IGUAL);1;SERVICIO COSTO FIJO;88
SRVREPTAPINSP;(SUBTOTAL IGUAL);1;SERVICIO COSTO FIJO;89
SERCALCERSENPES;(SUBTOTAL IGUAL);1;SERVICIO COSTO FIJO;90
P-CAR-15-HAB015;Qty * Costo unitario *1.19;1.19;SERVICIO PREVENTIVO ;91
P-IMA-15-LAV036;Qty * Costo unitario *1.019;1.019;SERVICIO COSTO FIJO;92
P-IMA-15-LAV037;Qty * Costo unitario *1.019;1.019;SERVICIO COSTO FIJO;93
P-LLA-15-ALI037;Qty * Costo unitario *1.19;1.19;SERVICIO PREVENTIVO ;94
P-LLA-15-LLA038;Qty * Costo unitario *1.19;1.19;SERVICIO PREVENTIVO ;95
SERCALTAC;(SUBTOTAL IGUAL);1;SERVICIO COSTO FIJO;96
SRVRECTEC;(SUBTOTAL IGUAL);1;SERVICIO COSTO FIJO;97
SRVREVTEC;(SUBTOTAL IGUAL);1;SERVICIO COSTO FIJO;98
SERCALCERSENKIM;(SUBTOTAL IGUAL);1;SERVICIO COSTO FIJO;99
SERCALANUTAC;(SUBTOTAL IGUAL);1;SERVICIO COSTO FIJO;100
P-CAR-15-HAB016;Qty * Costo unitario *1.19;1.19;SERVICIO PREVENTIVO ;101
